0	0
1.34057E-07	0
2.25551E-06	0
1.90415E-05	0
0.000107588	0
0.000457898	0.008333333
0.001566632	0.016666667
0.004490917	0.016666667
0.011101889	0.05
0.024179218	0.083333333
0.047173521	0.133333333
0.083562006	0.183333333
0.135911804	0.225
0.204948101	0.266666667
0.288986515	0.3
0.383979937	0.416666667
0.484197998	0.466666667
0.583319923	0.533333333
0.675590774	0.625
0.756712231	0.675
0.824277865	0.75
0.877739173	0.825
0.918026087	0.858333333
0.947005197	0.891666667
0.966944085	0.916666667
0.980091289	0.966666667
0.988413469	0.975
0.993478796	0.991666667
0.996447641	1
0.998125568	1
0.999041195	1
0.999524189	1
0.999770749	1
0.999892681	1
0.999951153	1
0.999978368	1
0.999990673	1
0.999996082	1
0.999998396	1
0.999999359	1
0.99999975	1
0.999999905	1
0.999999965	1
0.999999987	1
0.999999995	1
0.999999998	1
0.999999999	1
1	1
